KEGG,G7_1,G7_2,G7_3,G7_4,G7_5,G7_6
C05400,45866140.39,41519250.15,27379416.69,31872581.93,26604786.92,25743702.94
C00166,4281611.216,3043387.479,1238592.706,1516775.88,1725022.594,1293049.749
C16680,9105263.968,18938379.95,14421709.46,7113435.194,17638087.29,13197477.28
C00233,523348661,463923319.5,624703807,481745050.9,394004380.8,484277441.1
C06524,9369484.896,6526881.568,5410859.723,6260479.105,6666184.575,6104719.157
C01551,7607030.35,10714146.91,10507941.3,7683961.789,8133900.823,6415973.276
C00955,8192771.679,10749401.4,13535884.41,9251305.203,12302751.6,9988106.694
C02366,48801714.41,136807158.1,50759944.77,60123531.79,90121886.32,60708042.18
C00547,25460679.03,22983178.84,18749460.35,19214586.49,16333729.63,19293265.27
C05576,10609557.09,6878995.429,10625268.09,15975403.96,9462787.475,10857587.74
C12989,927597289.8,754174872.9,591594765.3,635056209.9,605179129.4,599338785.5
C02637,10347229.72,11249537.32,10187865.88,9182679.187,16616906.55,7864077.466
C03619,7435896.08,7393541.603,11127055.11,7960654.197,8082958.694,9176830.713
C00795,4196233492,1528823075,1146820693,3091530862,2029870368,1175977304
C00082,499140449.7,322669521,279952391.2,308417680.4,310567481.3,306710794.7
C01595,3040588188,2072497039,1493349394,2199996387,2085650871,1649754961
C02494,25065867.7,17662601.23,16792299.57,15222447.58,20315429.7,17259639.44
C00051,2558928155,3060814878,2771576992,2987010619,2984293441,2631342300
C00267,21418476.55,24390570.23,17583855.91,16458258.12,16644311.65,14864646.14
C09827,168057665.8,301012811.7,144320598.7,181733238.2,151335732.5,161705285.3
C00449,702920237.1,640795994.7,338250753.9,403722941.4,433678115.8,438828039.5
C00212,667199699.9,719973056.4,552828621.5,550433727.4,511071017.7,528613230.5
C14762,37459998.12,26551684.57,25726035.38,27119874.17,26060503.52,22117805.95
C10084,13278043.68,15209162.55,10731370.38,10052082.26,8255422.053,9120008.709
C04036,19934928.92,34873786.04,24202151.65,15400001.11,36872733.54,20801893.01
C07577,31085988.49,192470881.5,73691083.99,86083091.93,84401501.87,57805398.76
C00534,6191165.67,5307870.607,5210582.969,4717898.577,6841925.313,7680749.768
C00423,1030695078,1221526329,1006350274,871084153.4,979832273.2,773646282.8
C01970,10711629.73,10813845.58,8747658.257,11119074.17,7969160.956,9150575.5
C13846,1300087495,1216294601,598851660.8,884261155.4,505257329.5,851821625.7
C06323,216389972.8,213089052.3,194130885.2,174412612.3,179816238.7,195843118.7
C00811,183650595.8,188391235.5,139174820.6,148605268.9,194629146.8,122711420.2
C07018,7847071.738,8815532.874,7462205.61,5335883.756,10300012.16,6599259.42
C02155,91834767.96,63789863.32,49275917.91,48538176.03,50374487.02,49026157.49
C10470,19875687.78,20779824.91,16215355.5,14183239.97,16547120.13,11385360.68
C00232,53364925.57,56895264.16,51979341.37,44939800.19,42727901.94,36808964.2
C05984,48403340.15,37657745.94,35223186.83,34315751.98,36450652.59,34445091.47
C00429,14627835.82,19818387.97,15628234.06,16039523.42,14539379.08,12951052.95
C02115,19629966.04,25736974.45,12302547.9,13968701.55,13084299.08,11746208.77
C00802,17218310.64,13643838.4,10802615.42,11410357.36,10854295.91,11305875.24
C00966,13093700.72,38267250.09,44699297.99,32983308.8,43068707.4,33727399.76
C01042,17890292.05,17111870.25,21164858.85,21022000.68,21172797.3,19470583.81
C03217,12165399.69,15545978.1,9698593.184,8407389.879,9940592.503,8082158.861
C21602,7194725.934,6683261.928,7150868.83,7734945.383,7927272.356,7603996.677
C06358,1624753038,1832496874,1417850773,1148704540,1512790567,1219671162
C11016,1621383001,1767160512,1443930839,1070475584,1828746300,1280817391
C03972,3676762.175,3681080.063,4224576.642,4178652.752,4226991.104,3910167.006
C02666,15949261.65,17204964.85,14377070.52,16949049.31,14535074.1,27046594.18
C16737,31441042.95,46769394,32846973.31,28714121.56,30593758.45,30206393.35
C10478,12166993.21,16541115.08,16173108.76,7444296.527,10124347.94,7219590.413
C02427,17418240.75,16135414.82,11621280.17,6349400.947,11344504.9,7479956.87
C06726,42179742.26,42551055.78,19719152.67,36076099.29,43884362.04,42986237.53
C20800,18324985.19,17020065.62,8355623.721,9621077.313,8969538.681,9307710.822
C01251,5647910.066,5354164.899,7451237.127,6272557.835,4840672.126,4605952.921
C20772,163684982.9,202663532.5,134901817.3,153628248.9,108442274.1,101538179.2
C07401,22286478.86,24608906.32,20726331,14717051.76,25864648.89,17475637.6
C02587,13564907.64,20224657.45,17160511.23,19202153.65,20949367.14,16363955.4
C05939,6143266.122,3692146.163,2886512.863,3835261.534,5125124.243,4555579.277
C03003,75902816.53,136536550.3,76266126.29,167247101.4,121952636.2,113378941.8
C19914,65782661.51,65408444.62,73078283.98,77771606.66,69267507.39,67008568.95
C00147,48003699.35,33937762.26,30341765.48,31058406.65,32766614.24,30807883.51
C01197,9111376.525,12063056.81,11096919.83,11832550.58,9603385.226,9962548.603
C08432,9122964.559,5406586.451,3448278.821,3984207.707,3626978.109,3654749.958
C20470,2265171.21,3098339.924,2289034.26,2281730.797,2999456.712,2502440.806
C03993,10222110.85,12766807.05,11743705.51,13902022.17,10698921.52,10775153.39
C21091,31682666.15,18924781.27,10298071.64,9825010.409,10121495.86,10820101.11
C00122,60462193.32,38070404.74,40302614.09,45273959.72,35593849.3,42052086.62
C00253,43257704.84,46150596.09,40608370.72,44057318.24,33629296.26,39503411.22
C05422,5019627.837,4044428.493,1996512.781,2437898.981,2383118.303,2170765.942
C02265,2598090.668,3133840.928,2070479.429,1948707.736,1840869.277,1849553.234
C05635,14281300.26,14056499.61,16068483.96,15245861.47,14220749,14075314.82
C10702,1009302.242,1258453.072,1120889.355,1292405.31,704661.6584,1599915.965
C00818,46943611.09,39560301,34154807.4,37697357.53,37133509.64,26709369.86
C10494,7538993.14,7000855.974,6718827.969,6958819.92,7086954.992,8148000.019
C00061,15234902.93,20205949.08,10656725.34,10939416.42,11454998.15,9740253.772
C01835,7730859.114,7470515.84,6157643.342,11658720.64,6226552.078,6085955.17
C01211,21654011.52,4468320.821,16533402.67,18473422.37,17247068.7,78023484.94
C07322,5640452.188,7976705.881,5587202.205,2559719.703,5420026.552,3385184.968
C05631,3298793.08,6234455.4,5662814.419,5210875.726,4640724.534,4819654.238
C17071,10236688.22,8253585.493,8411936.087,7736768.464,7175706.774,5954392.093
C00942,10674022.55,5329479.117,7708089.901,2240624.444,17971754.14,12982857.99
C14516,101714378.8,100444479.8,94986732.2,106948258,80659720.44,90275447.26
C19569,56919811.55,62514040.82,8161307.652,3680130.996,6868390.784,8545306.894
C18477,6498287.888,6459066.125,5258636.531,3171042.539,4762075.611,5360379.93
C10454,13539623.52,19171315.09,23945829.25,34013198.55,28660771.5,26922430.62
C01735,5733749.415,5930798.31,6652438.016,4700249.759,5919518.675,5219110.541
C00831,3014620.094,4195618.231,3058425.169,3438670.637,5326980.899,2166004.532
C05526,17159042.89,16799566.17,21182718.97,16909377.41,21843183.39,20578757.86
C05410,22693667.63,24607128.15,14136120.09,29184598.87,16621570.12,12401139.23
C00492,3814047.575,4493230.733,2625677.019,1654359.186,1908436.231,3008641.412
C01546,8880473.325,13754844.03,10498788.8,10841122.37,19135181.24,15018088.47
C00601,106236598.1,207970015.9,165474893.6,110710854.3,93266367.71,167183262.5
C02735,4303198.897,5150775.91,3425740.928,4973679.238,4707210.926,5093855.933
C00047,369244136.4,378823259.6,452990825.5,429553458.4,377099404.9,426439700.6
C02656,48920564.73,45054890.52,55350316.25,46750245.48,38056774.86,40287374.18
C01005,147374822.3,91715214.58,62802337.44,90463389.78,53035838.24,50414260.89
C06424,19444234.38,14000256.5,13285315.61,17164268.98,16060824.89,13571382.53
C00089,213870533.3,106742219.8,241307323.8,144707304.7,136501118.4,129022809.3
C09794,18006286.73,16190075.57,11020759,12307110.25,3905884.891,7354199.049
C10761,11205799.69,12920628.31,9749641.889,9365333.543,8515823.766,8504641.376
C07203,5167576.072,4609365.425,6332015.586,2648905.675,5436864.315,5870128.538
C16652,4945976.811,5145395.299,6403558.564,5428792.829,6224413.261,7091863.057
C03975,2497535.688,2866163.97,2774045.157,2834742.987,2124750.018,2283335.062
C00715,4734869.005,4209865.487,3481114.408,3339801.268,3631380.908,3367106.605
C06212,3599325.063,6086156.168,4174613.329,4784766.883,3600089.124,6084998.439
C16975,19831204.03,25171729.39,16757092.48,12539075.77,18714070.17,18539565.07
C07504,3665786.979,5234647.82,5344093.15,4891388.458,5089139.06,4402152.126
C11172,36519277.16,35945206.57,33438669.81,33291725.97,32125406.58,34250209.03
C10919,2839764.258,4893287.088,3003042.415,3551268.189,3596460.811,3296668.625
C18428,4169120.326,3198037.708,2869593.114,2782351.165,2881205.489,2729067.034
C02985,1441958.583,1115777.93,739161.7074,795593.0886,820160.2102,754429.993
C10482,100322935.5,77136425.74,67082677.03,77968265.73,78063234.03,82262150.67
C07363,12296942.79,4237298.921,2239747.685,2591706.47,3078794.417,2588578.287
C19092,9712202.602,5606306.632,4943116.828,6906623.874,5074512.234,4976746.966
C14825,7447991.12,2520388.926,1394220.853,1537652.034,1832022.904,1572281.788
C01451,3435476.012,2482294.708,2181633.861,2474016.018,2663369.742,2451581.33
C01692,8184712.639,7325098.992,9482348.115,9436181.062,7190157.843,6944000.347
C10166,3306742.394,14254284.35,12567688.96,6096006.486,7172390.43,8205301.46
C07052,4418239.688,4074541.253,4473930.723,4192556.544,4156886.653,4559051.408
C07502,3901016.704,5139263.981,4555749.76,5333540.674,5466659.302,5507136.512
C07406,38249.33044,519656.5673,552242.7941,398081.6386,646494.2162,443180.5607
C11025,19492724.79,24507406.31,23130860.72,24554359.85,19943355.94,17739288.21
C07127,13108066.25,10513205.44,9973012.478,12756057.51,11080881.76,12221542.02
C07778,22660484.87,17885397.03,15235118.68,16407947.08,15896160.36,13351357.31
C08110,4441841.588,2087390.852,1162325.96,2068823.419,2916307.516,1578580.813
C06917,7046671.768,8585693.489,5455667.77,1521755.988,6270542.431,4516164.517
C15625,939117.155,1306369.796,1217443.262,1436168.884,1097154.814,985783.3708
C20152,1352741.37,1706888.132,1806114.921,1928054.254,1678670.724,1550352.424
C08794,428841.513,290093.4307,470175.4339,67992.97362,252814.8917,1434510.456
C07060,9122723.756,10131783.77,7205510.919,7606124.516,8054175.332,8188126.621
C14694,5258513.076,5184432.142,4401030.247,3627711.953,3807660.845,3934524.546
C14420,1180380.983,1076216.149,954332.2407,869453.9592,953213.6871,1130969.043
C07495,71786456.17,81823811.77,63802275.35,60621622.63,60361038.02,63855380.34
C07417,24244615.16,23542127.4,82364019.33,72546897.94,62861513.24,73678801.61
C07789,3947432.188,5011907.309,3798877.918,3891781.007,3755408.474,5302209.452
C07514,20813062.52,28113991.04,23326313.69,13986904.24,20961603.19,18396509.24
C19800,94866263.86,73614655.26,59184188.11,72180073.16,80279213.36,59439711.49
C07153,12343721.79,4804485.896,4094250.402,5629371.592,7805429.608,5168077.562
C11781,13363204.39,15587945.26,12791807.24,13598687.69,12685143.27,9818407.605
C13732,3149310.473,2388817.502,1892812.968,2434048.849,2198581.312,2479968.096
C08092,5973839.832,6903706.781,6031434.251,6678449.442,5712828.202,4609179.313
C18527,3352016.09,5915196.102,3325232.744,3776304.107,6548862.675,5360121.952
C15740,14935133.92,26997259.06,13919604.01,15505392.6,15004723.55,18556727.05
C00164,5482995.726,6302741.352,5679007.2,4980982.379,5263249.548,3975520.374
C02353,3509088.531,3218290.802,2766559.374,4022119.881,3357253.167,2917667.763
C21605,1392247.161,2250154.214,1873104.83,1662314.273,2193163.482,1628714.347
C09018,944312.3709,839857.8414,758198.0098,715070.4081,864511.0543,731827.7992
C10061,14730740.43,9521825.121,9740875.541,9247856.797,8487263.739,8959766.063
C10742,11727413.47,15716748.37,12356011.88,13023966.05,11824415.63,11919858.69
C01531,6023247.661,4414388.094,3396566.932,2856872.67,3692803.194,3411009.686
