KEGG,G7_1,G7_2,G7_3,G7_4,G7_5,G7_6
C07205,6477986.358,10537595.63,8116231.078,8699559.397,9495422.905,9091301.666
C17949,3952327.639,7850221.867,6185697.883,4926655.469,5606495.432,5255395.898
C14312,7642210.902,3511819.061,4054810.482,4810179.152,3789124.549,4380306.693
C09243,3244884.332,3677116.975,3720466.779,4462104.064,4670154.986,3293363.794
C00643,7079877.823,6007760.42,1967972.808,2223270.218,1976554.778,1755464.222
C01298,4354249.736,18362892.98,19464931.03,22689064.33,19496863.66,20072726.57
C07053,3687284.329,4578353.808,2975590.658,3941027.545,4974286.527,3015900.587
C15650,1926717.413,1803904.154,1634720.237,1482704.68,1477790.476,1455750.114
C00254,222158458.6,422027257.7,295096660.2,334877284.3,297223043.5,297511995.7
C09280,10134599.47,7216391.426,7594290.622,4874296.903,17565747.44,7440325.095
C01107,4458051.049,5198176.119,5868345.265,4313021.083,14543242.12,11453548.45
C02206,4581877.631,4930739.556,4225303.152,4421449.684,5394704.565,4979815.74
C07609,25167577.59,40720515.27,25176912.85,28580507.8,22055620.28,25924271.73
C07161,3309167.561,3325793.804,6431024.749,5750938.953,5775148.198,5717781.163
C07320,27115643.77,32116004.92,33548674.93,27276364.48,16269775.13,16644572.82
C04137,14955012.84,10116746.42,8522688.288,8591410.084,9267923.227,8808681.357
C15616,1029275.985,849017.6562,21942279.2,13583598.05,19267406.84,15269017.84
C03150,122794607,88836250.18,120876359.4,114365510.2,117060519.2,28440778.84
C05841,240169873.9,377053955.1,239979711.5,202089692.8,205904186,218194813.6
C04874,13821252.42,15949965.13,19291551.38,12476861.99,13327702.84,13641323.29
C03296,53596118.64,37685395.07,21443826.65,39057345.97,25067642.72,18193086.76
C04234,18524101.33,22134774.73,14984694.37,18937839.06,14536103.82,15525296.73
C01449,2567227.405,1711724.388,24271184.78,17200476.78,20143072.65,17286950.63
C00275,34615114.97,55435901.26,40567176.1,18857666.92,43763747.79,41128159.82
C07408,5180449.804,4088212.827,3286726.93,2932869.644,3120273.41,4874470.282
C00468,19197600.36,17063760.13,16786656.55,18129587.17,20356323.05,14929512.52
