Gene ID,Accesion,Control-1,Control-2,Control-3,S7-1,S7-2,S7-3
AT5G23440,Q9FHL4,1069.602715,1372.629791,1052.489269,1117.629817,1043.250984,919.9331194
AT5G23575,Q8VZJ5,2299.590532,1819.678944,2397.516582,2499.813933,2522.425958,2541.72257
AT5G23820,Q9FF98,9487.055313,10299.97049,9027.659241,8550.93304,8429.237219,8311.148718
AT5G24530,Q9FLV0,78.5333948,66.1129028,86.3580939,100.8893515,83.22934394,114.4694254
AT5G24770,F4KII6,79.63949895,85.0023036,101.4707603,169.269912,140.9130477,157.9176744
AT5G28040,F4K5T4,627.1610542,541.4961563,554.8507533,697.2575184,599.9105187,569.0049539
AT5G35160,F4JYB8,2393.609385,1642.328458,2319.794297,3277.782932,2883.361133,2860.064548
AT5G35460,Q9FJB4,491.1102435,486.9267762,455.5389453,440.5501684,466.4139472,477.9307396
AT5G37600,Q56WN1,3237.566853,3746.397825,3299.958663,3189.224502,3154.47454,3342.173004
AT5G37720,A8MQ78,1066.284403,1273.985143,1085.953031,925.9400486,908.1063071,908.2355139
AT5G39050,Q940Z5,1045.268424,1204.724007,1010.389699,1291.3837,1333.317609,1204.017825
AT5G39580,Q9FKA4,530.929993,572.9784909,455.5389453,507.8097361,562.0040848,510.5169264
AT5G39790,A0A1R7T3C7,655.9197622,727.2419308,616.3808952,496.5998081,543.0508679,573.1826702
AT5G42650,Q96242,2091.642952,2015.91883,2081.230063,2496.450954,2562.804551,2683.764922
AT5G42800,P51102,351.7411204,321.1198136,435.028898,429.3402405,403.785926,480.4373693
AT5G43450,Q9LSW6,146.0057481,159.5104956,153.2856167,135.6401282,117.0155133,137.0290932
AT5G44070,Q9S7Z3,1099.467527,1112.375825,1112.939935,1011.135501,993.8078098,1006.829617
AT5G44340,P24636,16639.12476,16725.515,16916.47112,18290.11844,18479.38651,18176.40788
AT5G45280,Q9FH82,703.4822407,715.6984081,625.0167046,755.5491438,693.0284975,644.2038465
AT5G45590,Q8LAA7,546.4154511,584.5220136,452.3005168,608.6990876,675.7233864,726.9226284
AT5G45650,Q9FK76,237.8123927,183.6469522,237.4847582,260.0703284,292.5387831,286.5913351
AT5G46570,Q9LS26,493.3224518,566.682024,544.0559916,612.062066,572.7167726,604.9333137
AT5G47930,Q8L953,11495.74045,16019.26129,12828.49485,15062.78019,14826.35996,15516.03817
AT5G48540,Q9LV60,147.1118522,206.7339976,200.7825683,201.7787031,196.9486456,213.8990723
AT5G49760,Q8GZ99,974.477758,960.2112073,1037.376603,834.0186394,990.5115981,896.5379083
AT5G49850,Q9LTA8,186.9316017,218.2775204,189.9878066,184.9638112,196.9486456,170.4508232
AT5G50000,A0A1P8BAW5,1170.258193,1320.159234,1295.371409,1132.202723,1059.732043,1244.959444
AT5G50100,Q8W485,86.27612386,124.8799275,84.19914156,93.04240198,113.7193016,121.1537714
AT5G50200,Q9FGS5,431.3806193,461.7409084,503.035897,516.7776785,464.7658414,382.678809
AT5G51070,P42762,1051.905049,941.3218065,1071.919841,862.0434593,828.1731748,843.8986835
AT5G51440,Q9FGM9,507.7018058,581.3737802,530.0228013,508.9307289,476.3025821,439.49575
